Arrondissement,Number of EV Charging Stations
Anjou,63
Ahuntsic-Cartierville,120
Outremont,29
Saint-Laurent,110
Saint-Léonard,45
Ville-Marie,318
Lachine,58
Mont-Royal,9
Montréal-Nord,28
Villeray-Saint-Michel-Parc-Extension,152
LaSalle,76
Verdun,106
Pierrefonds-Roxboro,26
L'Île-Bizard-Sainte-Geneviève,14
Westmount,14
Rosemont-La Petite-Patrie,175
Mercier-Hochelaga-Maisonneuve,183
Le Plateau-Mont-Royal,72
Côte-des-Neiges-Notre-Dame-de-Grâce,156
Rivière-des-Prairies-Pointe-aux-Trembles,58
Le Sud-Ouest,139
Dorval,74
Kirkland,7
Dollard-des-Ormeaux,10
Sainte-Anne-de-Bellevue,18
Côte-Saint-Luc,8
Baie-D'Urfé,2
Beaconsfield,2
Montréal-Est,8
Pointe-Claire,8
Montréal-Ouest,2
Hampstead,2
